id,code,name,active
anexo11_1,1,"ABOGADO",1
anexo11_2,2,"ACTOR, ARTISTA Y DIRECTOR DE ESPECTACULOS",1
anexo11_3,3,"ADMINISTRADOR DE EMPRESAS (PROFESIONAL)",1
anexo11_4,4,"AGRIMENSOR Y TOPOGRAFO",1
anexo11_5,5,"AGRÓNOMO",1
anexo11_6,6,"ALBANIL",1
anexo11_7,7,"ANALISTAS DE SISTEMA Y COMPUTACION",1
anexo11_8,8,"ANTROPOLOGO, ARQUEOLOGO Y ETNOLOGO",1
anexo11_9,9,"ARQUITECTO",1
anexo11_10,10,"ARTESANO DE CUERO",1
anexo11_11,11,"ARTESANO TEXTIL",1
anexo11_12,12,"AUTOR LITERARIO, ESCRITOR Y CRITICO",1
anexo11_13,13,"BACTERIOLOGO, FARMACOLOGO",1
anexo11_14,14,"BIOLOGO",1
anexo11_15,15,"CARPINTERO",1
anexo11_16,16,"CONDUCTOR DE VEHICULOS DE MOTOR",1
anexo11_17,17,"CONTADOR",1
anexo11_18,18,"COREOGRAFO Y BAILARINES",1
anexo11_19,19,"COSMETOLOGO, PELUQUERO Y BARBERO",1
anexo11_20,20,"DECORADOR, DIBUJANTE, PUBLICISTA, DISEÑADOR DE PUBLICIDAD",1
anexo11_21,21,"DEPORTISTA PROFESIONAL Y ATLETA",1
anexo11_22,22,"DIRECTOR DE EMPRESAS",1
anexo11_23,23,"ECONOMISTA",1
anexo11_24,24,"ELECTRICISTA (TECNICO)",1
anexo11_25,25,"ENFERMERO",1
anexo11_26,26,"ENTRENADOR DEPORTIVO",1
anexo11_27,27,"ESCENOGRAFO",1
anexo11_28,28,"ESCULTOR",1
anexo11_29,29,"ESPECIALISTA EN TRATAMIENTO DE BELLEZA",1
anexo11_30,30,"FARMACEUTICO",1
anexo11_31,31,"FOTOGRAFO Y OPERADORES CAMARA, CINE Y TV",1
anexo11_32,32,"GASFITERO",1
anexo11_33,33,"GEOGRAFO",1
anexo11_34,34,"INGENIERO",1
anexo11_35,35,"INTERPRETE, TRADUCTOR, FILOSOFO",1
anexo11_36,36,"JOYERO Y/O PLATERO",1
anexo11_37,37,"LABORATORISTA (TECNICO)",1
anexo11_38,38,"LOCUTOR DE RADIO, TV",1
anexo11_39,39,"MECANICO MOTORES AVIONES Y NAVES MARINAS",1
anexo11_40,40,"MECANICO DE VEHICULOS DE MOTOR",1
anexo11_41,41,"MEDICO Y CIRUJANO",1
anexo11_42,42,"MODELO",1
anexo11_43,43,"MUSICO",1
anexo11_44,44,"NUTRICIONISTA",1
anexo11_45,45,"OBSTETRIZ",1
anexo11_46,46,"ODONTOLOGO",1
anexo11_47,47,"PERIODISTA",1
anexo11_48,48,"PILOTO DE AERONAVES",1
anexo11_49,49,"PINTOR",1
anexo11_50,50,"PROFESOR",1
anexo11_51,51,"PSICOLOGO",1
anexo11_52,52,"RADIO TECNICO",1
anexo11_53,53,"REGIDORES DE MUNICIPALIDADES",1
anexo11_54,54,"RELACIONISTA PUBLICO E INDUSTRIAL",1
anexo11_55,55,"SASTRE",1
anexo11_56,56,"SOCIOLOGO",1
anexo11_57,57,"TAPICERO",1
anexo11_58,58,"TAXIDERMISTA, DISECADOR DE ANIMALES",1
anexo11_59,59,"VETERINARIO",1
anexo11_60,60,"PODOLOGOS",1
anexo11_61,61,"ARCHIVERO",1
anexo11_62,62,"ALBACEA",1
anexo11_63,63,"GESTOR DE NEGOCIO",1
anexo11_64,64,"MANDATARIO",1
anexo11_65,65,"SINDICO",1
anexo11_66,66,"TECNOLOGOS MEDICOS",1
anexo11_99,99,"PROFESION U OCUPACION NO ESPECIFICADA",1
