id,code,name,version_ciiu,active
anexo01_111,111,"CULTIVO DE CEREALES (EXCEPTO ARROZ), LEGUMBRES Y SEMILLAS OLEAGINOSAS",v4,1
anexo01_162,162,"ACTIVIDADES DE APOYO A LA GANADERÍA",v4,1
anexo01_1071,1071,"ELABORACIÓN DE PRODUCTOS DE PANADERÍA.",v4,1
anexo01_1410,1410,"FABRICACIÓN DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL",v4,1
anexo01_1520,1520,"FABRICACIÓN DE CALZADO",v4,1
anexo01_1811,1811,"IMPRESIÓN",v4,1
anexo01_1812,1812,"ACTIVIDADES DE SERVICIOS RELACIONADAS CON LA IMPRESIÓN.",v4,1
anexo01_2511,2511,"FABRICACIÓN DE PRODUCTOS METÁLICOS PARA USO ESTRUCTURAL",v4,1
anexo01_3100,3100,"FABRICACIÓN DE MUEBLES",v4,1
anexo01_4100,4100,"CONSTRUCCIÓN DE EDIFICIOS",v4,1
anexo01_4321,4321,"INSTALACIONES ELÉCTRICAS",v4,1
anexo01_4330,4330,"TERMINACIÓN Y ACABADO DE EDIFICIOS",v4,1
anexo01_4520,4520,"MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES",v4,1
anexo01_4530,4530,"VENTAS DE PARTES, PIEZAS Y ACCESORIOS DE VEHÍCULOS AUTOMOTORES.",v4,1
anexo01_4730,4730,"VENTA AL POR MENOR DE COMBUSTIBLE PARA VEHÍCULOS AUTOMOTORES EN ALMACENES ESPECIALIZADOS.",v4,1
anexo01_4610,4610,"VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA.",v4,1
anexo01_4630,4630,"VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO.",v4,1
anexo01_4641,4641,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO.",v4,1
anexo01_4663,4663,"VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN, ARTÍCULOS DE FERRETERÍA Y EQUIPO Y MATERIALES DE FONTANERÍA Y CALEFACCIÓN.",v4,1
anexo01_4690,4690,"VENTA AL POR MAYOR NO ESPECIALIZADA.",v4,1
anexo01_4711,4711,"VENTA AL POR MENOR EN ALMACENES NO ESPECIALIZADOS CON SURTIDO COMPUESTO PRINCIPALMENTE DE ALIMENTOS, BEBIDAS Y TABACO.",v4,1
anexo01_4719,4719,"VENTA AL POR MENOR DE OTROS PRODUCTOS EN ALMACENES NO ESPECIALIZADOS.",v4,1
anexo01_4721,4721,"VENTA AL POR MENOR DE ALIMENTOS EN COMERCIOS ESPECIALIZADOS",v4,1
anexo01_4772,4772,"VENTA AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES, COSMÉTICOS Y ARTÍCULOS DE TOCADOR EN ALMACENES ESPECIALIZADOS.",v4,1
anexo01_4751,4751,"VENTA AL POR MENOR DE PRODUCTOS TEXTILES EN COMERCIOS ESPECIALIZADOS",v4,1
anexo01_4759,4759,"VENTA AL POR MENOR DE APARATOS ELÉCTRICOS DE USO DOMÉSTICO, MUEBLES, EQUIPO DE ILUMINACIÓN Y OTROS ENSERES DOMÉSTICOS EN COMERCIOS ESPECIALIZADOS",v4,1
anexo01_4752,4752,"VENTA AL POR MENOR DE ARTÍCULOS DE FERRETERÍA, PINTURAS Y PRODUCTOS DE VIDRIO EN ALMACENES ESPECIALIZADOS.",v4,1
anexo01_4753,4753,"VENTA AL POR MENOR DE TAPICES, ALFOMBRAS Y CUBRIMIENTOS PARA PAREDES Y PISOS EN COMERCIOS ESPECIALIZADOS",v4,1
anexo01_4781,4781,"VENTA AL POR MENOR DE ALIMENTOS, BEBIDAS Y TABACO EN PUESTOS DE VENTA Y MERCADOS",v4,1
anexo01_4799,4799,"OTRAS ACTIVIDADES DE VENTA AL POR MENOR NO REALIZADAS EN COMERCIOS, PUESTOS DE VENTA O MERCADOS",v4,1
